job_id,skill,domain
1,django,Backend Development
1,docker,Backend Development
1,git,Backend Development
1,postgresql,Backend Development
1,python,Backend Development
1,rest api,Backend Development
2,express,Backend Development
2,microservices,Backend Development
2,mongodb,Backend Development
2,node.js,Backend Development
2,redis,Backend Development
3,java,Backend Development
3,kafka,Backend Development
3,kubernetes,Backend Development
3,spring,Backend Development
3,spring boot,Backend Development
4,javascript,Backend Development
4,kafka,Backend Development
4,kubernetes,Backend Development
4,python,Backend Development
5,postgresql,Backend Development
5,redis,Backend Development
5,spring,Backend Development
5,spring boot,Backend Development
6,docker,Backend Development
6,git,Backend Development
6,python,Backend Development
6,sql,Backend Development
7,docker,Backend Development
7,github,Backend Development
7,java,Backend Development
7,kubernetes,Backend Development
7,node.js,Backend Development
7,postgresql,Backend Development
7,python,Backend Development
7,spring,Backend Development
7,sql,Backend Development
8,django,Backend Development
8,docker,Backend Development
8,fastapi,Backend Development
8,kubernetes,Backend Development
8,python,Backend Development
8,sql,Backend Development
9,git,Backend Development
9,go,Backend Development
9,javascript,Backend Development
9,typescript,Backend Development
10,github,Backend Development
10,go,Backend Development
10,python,Backend Development
11,.net,Backend Development
11,django,Backend Development
11,fastapi,Backend Development
11,python,Backend Development
11,typescript,Backend Development
12,docker,Backend Development
12,express,Backend Development
12,javascript,Backend Development
12,microservices,Backend Development
12,mongodb,Backend Development
12,mysql,Backend Development
12,node.js,Backend Development
12,postgresql,Backend Development
12,sql,Backend Development
13,github,Backend Development
13,kafka,Backend Development
13,postgresql,Backend Development
13,python,Backend Development
13,sql,Backend Development
14,go,Backend Development
14,python,Backend Development
14,sql,Backend Development
