job_id,skill,domain
1,ansible,DevOps & Cloud Engineering
1,aws,DevOps & Cloud Engineering
1,docker,DevOps & Cloud Engineering
1,github actions,DevOps & Cloud Engineering
1,kubernetes,DevOps & Cloud Engineering
1,linux,DevOps & Cloud Engineering
1,terraform,DevOps & Cloud Engineering
2,aws,DevOps & Cloud Engineering
2,cloudformation,DevOps & Cloud Engineering
2,ec2,DevOps & Cloud Engineering
2,grafana,DevOps & Cloud Engineering
2,iam,DevOps & Cloud Engineering
2,prometheus,DevOps & Cloud Engineering
2,python,DevOps & Cloud Engineering
2,s3,DevOps & Cloud Engineering
3,ci/cd,DevOps & Cloud Engineering
3,elk,DevOps & Cloud Engineering
3,helm,DevOps & Cloud Engineering
3,jenkins,DevOps & Cloud Engineering
3,kubernetes,DevOps & Cloud Engineering
3,logstash,DevOps & Cloud Engineering
4,azure,DevOps & Cloud Engineering
4,docker,DevOps & Cloud Engineering
4,python,DevOps & Cloud Engineering
5,aws,DevOps & Cloud Engineering
5,azure,DevOps & Cloud Engineering
5,ci/cd,DevOps & Cloud Engineering
5,gcp,DevOps & Cloud Engineering
5,grafana,DevOps & Cloud Engineering
5,helm,DevOps & Cloud Engineering
5,kubernetes,DevOps & Cloud Engineering
5,monitoring,DevOps & Cloud Engineering
5,python,DevOps & Cloud Engineering
5,security,DevOps & Cloud Engineering
5,terraform,DevOps & Cloud Engineering
6,aws,DevOps & Cloud Engineering
6,azure,DevOps & Cloud Engineering
6,docker,DevOps & Cloud Engineering
6,gcp,DevOps & Cloud Engineering
6,kubernetes,DevOps & Cloud Engineering
7,bash,DevOps & Cloud Engineering
7,docker,DevOps & Cloud Engineering
7,gcp,DevOps & Cloud Engineering
7,linux,DevOps & Cloud Engineering
7,python,DevOps & Cloud Engineering
7,terraform,DevOps & Cloud Engineering
8,bash,DevOps & Cloud Engineering
8,docker,DevOps & Cloud Engineering
8,gcp,DevOps & Cloud Engineering
8,linux,DevOps & Cloud Engineering
8,python,DevOps & Cloud Engineering
8,terraform,DevOps & Cloud Engineering
9,aws,DevOps & Cloud Engineering
9,azure,DevOps & Cloud Engineering
9,docker,DevOps & Cloud Engineering
9,gcp,DevOps & Cloud Engineering
9,kubernetes,DevOps & Cloud Engineering
10,grafana,DevOps & Cloud Engineering
10,linux,DevOps & Cloud Engineering
10,monitoring,DevOps & Cloud Engineering
10,prometheus,DevOps & Cloud Engineering
10,security,DevOps & Cloud Engineering
11,monitoring,DevOps & Cloud Engineering
11,python,DevOps & Cloud Engineering
11,security,DevOps & Cloud Engineering
12,ci/cd,DevOps & Cloud Engineering
12,docker,DevOps & Cloud Engineering
12,git,DevOps & Cloud Engineering
12,linux,DevOps & Cloud Engineering
12,python,DevOps & Cloud Engineering
13,aws,DevOps & Cloud Engineering
13,azure,DevOps & Cloud Engineering
13,gcp,DevOps & Cloud Engineering
14,aws,DevOps & Cloud Engineering
14,azure,DevOps & Cloud Engineering
14,docker,DevOps & Cloud Engineering
14,gcp,DevOps & Cloud Engineering
14,kubernetes,DevOps & Cloud Engineering
14,monitoring,DevOps & Cloud Engineering
14,python,DevOps & Cloud Engineering
15,aws,DevOps & Cloud Engineering
15,azure,DevOps & Cloud Engineering
15,ci/cd,DevOps & Cloud Engineering
15,gcp,DevOps & Cloud Engineering
15,linux,DevOps & Cloud Engineering
15,python,DevOps & Cloud Engineering
15,security,DevOps & Cloud Engineering
15,shell scripting,DevOps & Cloud Engineering
16,aws,DevOps & Cloud Engineering
16,docker,DevOps & Cloud Engineering
16,grafana,DevOps & Cloud Engineering
16,kubernetes,DevOps & Cloud Engineering
16,monitoring,DevOps & Cloud Engineering
16,prometheus,DevOps & Cloud Engineering
16,python,DevOps & Cloud Engineering
16,s3,DevOps & Cloud Engineering
16,terraform,DevOps & Cloud Engineering
17,aws,DevOps & Cloud Engineering
17,azure,DevOps & Cloud Engineering
17,bash,DevOps & Cloud Engineering
17,iam,DevOps & Cloud Engineering
17,networking,DevOps & Cloud Engineering
17,python,DevOps & Cloud Engineering
17,security,DevOps & Cloud Engineering
17,terraform,DevOps & Cloud Engineering
18,azure,DevOps & Cloud Engineering
18,monitoring,DevOps & Cloud Engineering
18,python,DevOps & Cloud Engineering
18,security,DevOps & Cloud Engineering
19,apache,DevOps & Cloud Engineering
19,aws,DevOps & Cloud Engineering
19,azure,DevOps & Cloud Engineering
19,gcp,DevOps & Cloud Engineering
19,python,DevOps & Cloud Engineering
20,ci/cd,DevOps & Cloud Engineering
20,docker,DevOps & Cloud Engineering
20,gitlab ci,DevOps & Cloud Engineering
20,jenkins,DevOps & Cloud Engineering
20,security,DevOps & Cloud Engineering
21,apache,DevOps & Cloud Engineering
21,aws,DevOps & Cloud Engineering
21,ci/cd,DevOps & Cloud Engineering
21,gcp,DevOps & Cloud Engineering
21,google cloud,DevOps & Cloud Engineering
21,kubernetes,DevOps & Cloud Engineering
21,monitoring,DevOps & Cloud Engineering
21,security,DevOps & Cloud Engineering
22,ansible,DevOps & Cloud Engineering
22,bash,DevOps & Cloud Engineering
22,ci/cd,DevOps & Cloud Engineering
22,gcp,DevOps & Cloud Engineering
22,google cloud,DevOps & Cloud Engineering
22,grafana,DevOps & Cloud Engineering
22,iam,DevOps & Cloud Engineering
22,monitoring,DevOps & Cloud Engineering
22,networking,DevOps & Cloud Engineering
22,prometheus,DevOps & Cloud Engineering
22,python,DevOps & Cloud Engineering
22,terraform,DevOps & Cloud Engineering
