job_id,skill,domain
1,accessibility,Frontend Development
1,css,Frontend Development
1,git,Frontend Development
1,html,Frontend Development
1,javascript,Frontend Development
1,jest,Frontend Development
1,npm,Frontend Development
1,playwright,Frontend Development
1,react,Frontend Development
1,redux,Frontend Development
1,typescript,Frontend Development
1,vite,Frontend Development
1,webpack,Frontend Development
2,react,Frontend Development
3,accessibility,Frontend Development
3,graphql,Frontend Development
3,less,Frontend Development
3,next.js,Frontend Development
3,react,Frontend Development
3,typescript,Frontend Development
